date,agegrp,pi_uc,resp_uc,resp_cardio_uc,natural,population,perc_pos_flu,perc_pos_fluAh1n1,perc_pos_fluAh3n2,perc_pos_fluB,perc_pos_rsv
3/16/2014,60+ yrs,143,339,1302,3281,4527167,0.014084507,1.73E-17,-5.78E-19,0.014084507,0.345746021
2/21/2010,60+ yrs,144,342,1233,3028,4024870,0.01122758,1.50E-17,4.63E-18,0.01122758,0.20024197
12/2/2012,60+ yrs,144,355,1375,3323,4264528,0.040670303,0.002436647,0.027002146,0.01123151,0.098864809
10/9/2016,60+ yrs,144,413,1583,3711,4806961,0.066002467,0.028247838,0.026130937,0.011623693,0.042008408
4/30/2017,60+ yrs,144,383,1455,3604,4950886,0.010825232,1.65E-17,0.010825232,5.64E-18,0.233998974
3/28/2010,60+ yrs,145,360,1263,3014,4024870,0.058641975,0.00308642,0.015432099,0.040123457,0.319585611
11/16/2014,60+ yrs,145,376,1404,3373,4527167,0.005847953,1.91E-17,0.005847953,7.95E-18,0.005555556
4/23/2017,60+ yrs,145,385,1455,3476,4950886,0.010163177,0.001792115,0.008371062,5.64E-18,0.274384336
2/8/2015,60+ yrs,146,372,1466,3643,4665551,0.018067633,1.91E-17,0.018067633,7.95E-18,0.128164251
8/12/2018,60+ yrs,146,456,1752,4222,5098435,0.206853612,0.017793318,0.010668483,0.178391812,0.029909874
2/22/2009,60+ yrs,147,356,1284,3051,3923521,0.047775943,0,0.047775943,0,0.457785703
3/6/2011,60+ yrs,147,377,1356,3171,4140047,0.021586272,0.002314815,0.002331002,0.016940454,0.147188272
10/30/2011,60+ yrs,147,338,1370,3214,4140047,0.110439905,0.006026365,0.018337657,0.086075883,0.029557197
4/22/2012,60+ yrs,147,374,1381,3237,4264528,0.027369327,8.67E-18,0.002506266,0.024863061,0.188568572
2/1/2015,60+ yrs,147,375,1444,3524,4665551,0.019279754,1.91E-17,0.009178744,0.01010101,0.108366271
3/12/2017,60+ yrs,147,347,1371,3516,4950886,0.007642358,0.002136752,0.003174603,0.002331002,0.241819292
5/28/2017,60+ yrs,147,424,1572,3890,4950886,0.111008354,0.013332765,0.092644176,0.005031413,0.182856354
11/12/2017,60+ yrs,147,407,1499,3720,4950886,0.052325935,0.003205128,0.003205128,0.045915679,0.024168947
9/16/2018,60+ yrs,147,480,1664,3927,5098435,0.284895704,0.010853851,0.029003695,0.245038158,0.012257661
2/28/2010,60+ yrs,148,379,1288,3140,4024870,0.071442634,0.006451613,0.015053763,0.049937257,0.245293539
11/28/2010,60+ yrs,148,375,1302,3152,4024870,0.09382716,0.024691358,0.027777778,0.041358025,0.019012346
4/21/2013,60+ yrs,148,387,1432,3421,4391538,0.076845955,0.053018705,0.011543632,0.012283619,0.184479386
12/21/2014,60+ yrs,148,380,1468,3527,4527167,1.16E-17,1.91E-17,-1.39E-17,7.95E-18,0.010752688
4/24/2016,60+ yrs,148,369,1394,3385,4806961,0.039174305,1.42E-17,-6.94E-18,0.039174305,0.233269447
4/9/2017,60+ yrs,148,387,1360,3361,4950886,0.017112106,0.001792115,0.008556053,0.006763939,0.276224635
8/19/2018,60+ yrs,148,456,1725,4012,5098435,0.253631159,0.015506416,0.016073888,0.222050856,0.030464274
11/21/2010,60+ yrs,149,382,1403,3321,4024870,0.048830409,0.005847953,8.10E-18,0.042982456,0.015438596
12/19/2010,60+ yrs,149,395,1393,3336,4024870,0.051564425,0.018231091,8.10E-18,0.033333333,0.036462183
4/10/2011,60+ yrs,149,372,1291,3133,4140047,0.02859414,0.025022712,8.10E-18,0.003571429,0.253688142
1/29/2012,60+ yrs,149,370,1373,3292,4264528,0.01318096,8.67E-18,0.009944714,0.003236246,0.063151576
9/23/2012,60+ yrs,149,410,1408,3276,4264528,0.135347995,8.67E-18,0.027109293,0.108238702,0.07300163
10/23/2016,60+ yrs,149,377,1533,3657,4806961,0.037565139,0.015809928,0.018752208,0.003003003,0.06934508
12/13/2009,60+ yrs,150,389,1384,3232,3923521,0.011111111,1.50E-17,4.63E-18,5.78E-19,0.07791288
2/19/2012,60+ yrs,150,331,1276,3129,4264528,0.013416936,0.01018069,8.10E-18,0.003236246,0.152473692
11/13/2016,60+ yrs,150,380,1428,3397,4806961,0.006546015,0.003401361,-8.67E-18,0.003144654,0.067797685
12/25/2016,60+ yrs,150,369,1390,3358,4806961,0.046296296,0.007936508,0.033068783,0.005291005,0.066798942
10/22/2017,60+ yrs,150,400,1546,3715,4950886,0.054727021,0.002347418,0.007563711,0.044815893,0.024993636
4/12/2009,60+ yrs,151,364,1321,3168,3923521,0.03030303,0,0.03030303,0,0.398653199
10/18/2009,60+ yrs,151,378,1356,3194,3923521,0.017364906,0.010928962,4.63E-18,0.006435944,0.006435944
2/7/2010,60+ yrs,151,370,1460,3466,4024870,0.096100629,0.016666667,0.021477987,0.057955975,0.098682454
11/14/2010,60+ yrs,151,409,1410,3232,4024870,0.096978558,0.017422027,0.013888889,0.065667641,0.020068226
12/25/2011,60+ yrs,151,356,1311,3116,4140047,0.004975124,8.67E-18,8.67E-18,0.004975124,0.066820443
12/16/2012,60+ yrs,151,359,1372,3327,4264528,0.023258959,0.005747126,0.007843137,0.009668695,0.128296146
1/12/2014,60+ yrs,151,392,1423,3465,4527167,0.054501111,1.73E-17,0.011904762,0.042596349,0.108132908
4/13/2014,60+ yrs,151,400,1427,3534,4527167,0.026893939,0.011742424,-5.78E-19,0.015151515,0.157761941
9/23/2018,60+ yrs,151,460,1609,3796,5098435,0.250498606,0.013940612,0.02387549,0.212682504,0.005420054
9/30/2018,60+ yrs,151,450,1616,3765,5098435,0.185674005,0.010216217,0.013843111,0.161614677,0.008423057
3/27/2011,60+ yrs,152,353,1250,3039,4140047,0.022038616,0.018467188,8.10E-18,0.003571429,0.22290334
4/6/2014,60+ yrs,152,396,1452,3458,4527167,0.04059257,0.011742424,0.00456621,0.024283935,0.201489207
5/4/2014,60+ yrs,152,395,1548,3534,4527167,0.068890596,0.015432099,0.050372078,0.00308642,0.094982579
11/20/2016,60+ yrs,152,390,1449,3528,4806961,0.006516625,0.003401361,0.003115265,5.64E-18,0.070648446
4/15/2012,60+ yrs,153,371,1383,3223,4264528,0.022985334,8.67E-18,0.005110432,0.017874902,0.184746629
12/23/2012,60+ yrs,153,373,1407,3367,4264528,0.040906018,0.015551048,1.16E-18,0.02535497,0.08908046
3/31/2013,60+ yrs,153,378,1372,3276,4391538,0.01589363,0.01589363,1.16E-18,3.76E-18,0.256259266
7/28/2013,60+ yrs,153,451,1619,3750,4391538,0.157611984,0.055365898,0.077516119,0.024729966,0.027070424
10/27/2013,60+ yrs,153,393,1409,3393,4391538,0.172364672,0.008547009,0.009259259,0.154558405,0.007407407
5/10/2015,60+ yrs,153,443,1631,3767,4665551,0.286913232,0.172402377,0.10546681,0.009044044,0.162317642
5/21/2017,60+ yrs,153,424,1551,3731,4950886,0.059764925,0.009473509,0.048449795,0.001841621,0.177805849
3/29/2009,60+ yrs,154,359,1306,3172,3923521,0.012162723,0,0.012162723,0,0.481260089
3/20/2011,60+ yrs,154,358,1307,3170,4140047,0.017012161,0.010067717,8.10E-18,0.006944444,0.214040907
4/8/2012,60+ yrs,154,411,1442,3408,4264528,0.030142402,8.67E-18,0.002604167,0.027538235,0.179579071
12/5/2010,60+ yrs,155,358,1351,3205,4024870,0.103928171,0.034792368,0.027777778,0.041358025,0.032547699
1/23/2011,60+ yrs,155,372,1362,3187,4140047,0.004901961,0.004901961,8.10E-18,4.05E-18,0.0921662
4/14/2013,60+ yrs,155,362,1348,3288,4391538,0.039837574,0.025888743,0.008250825,0.005698006,0.204530966
8/16/2015,60+ yrs,155,432,1637,3736,4665551,0.109687537,0.010122007,0.013830532,0.085734998,0.038769381
10/7/2018,60+ yrs,155,436,1641,3805,5098435,0.129237691,0.007573941,0.008558559,0.113105192,0.011336336
11/1/2009,60+ yrs,156,420,1496,3433,3923521,1.73E-18,1.50E-17,4.63E-18,5.78E-19,0.005509642
1/31/2010,60+ yrs,156,365,1313,3222,4024870,0.096100629,0.016666667,0.021477987,0.057955975,0.057204752
10/24/2010,60+ yrs,156,387,1415,3265,4024870,0.033397206,0.008264463,0.002666667,0.022466077,0.005421488
2/13/2011,60+ yrs,156,351,1300,3091,4140047,0.036685824,0.018678161,0.006321839,0.011685824,0.108908046
1/1/2012,60+ yrs,156,397,1474,3438,4264528,0.014707484,8.67E-18,0.00973236,0.004975124,0.082051587
10/13/2013,60+ yrs,156,388,1374,3335,4391538,0.167654137,0.003426613,0.012408782,0.151818741,0.022529251
9/18/2016,60+ yrs,156,439,1610,3848,4806961,0.20271394,0.12054242,0.063523119,0.018648402,0.040385097
9/28/2014,60+ yrs,157,401,1557,3607,4527167,0.078413834,0.003205128,0.021243292,0.053965414,0.014162194
4/17/2016,60+ yrs,157,389,1443,3465,4806961,0.020497974,1.42E-17,-6.94E-18,0.020497974,0.216878681
9/25/2016,60+ yrs,157,427,1524,3669,4806961,0.141306288,0.080115715,0.049903216,0.011287356,0.033024051
11/27/2016,60+ yrs,157,411,1536,3740,4806961,0.013065514,1.65E-17,0.013065514,5.64E-18,0.076689669
7/29/2018,60+ yrs,157,439,1745,4125,5098435,0.142944785,0.027241266,0.014600941,0.101102578,0.025429376
3/1/2009,60+ yrs,158,374,1384,3279,3923521,0.043361396,0,0.043361396,0,0.554905736
4/25/2010,60+ yrs,158,385,1459,3509,4024870,0.056776557,0.012419872,0.014194139,0.030162546,0.271617272
2/6/2011,60+ yrs,158,400,1464,3451,4140047,0.028065134,0.015804598,0.006321839,0.005938697,0.122345375
2/15/2009,60+ yrs,159,392,1439,3417,3923521,0.036786932,0,0.036786932,0,0.433609878
10/25/2009,60+ yrs,159,402,1363,3151,3923521,0.003703704,1.50E-17,4.63E-18,0.003703704,0.003703704
9/8/2013,60+ yrs,159,474,1615,3782,4391538,0.238897016,0.02063942,0.104108364,0.114149231,0.023330735
9/20/2015,60+ yrs,159,399,1597,3732,4665551,0.046690634,1.42E-17,0.004166667,0.042523968,0.015274705
10/16/2016,60+ yrs,159,409,1513,3695,4806961,0.044591604,0.023683943,0.017904658,0.003003003,0.052995562
12/4/2016,60+ yrs,159,394,1430,3524,4806961,0.013065514,1.65E-17,0.013065514,5.64E-18,0.0839919
10/29/2017,60+ yrs,159,434,1630,3964,4950886,0.049917277,1.73E-17,0.005216293,0.044700984,0.029606394
12/12/2010,60+ yrs,160,381,1369,3244,4024870,0.095391585,0.042922449,0.027777778,0.024691358,0.048807862
3/13/2011,60+ yrs,160,357,1303,3169,4140047,0.021361046,0.005092593,0.002331002,0.013937451,0.193809894
3/23/2014,60+ yrs,160,393,1403,3331,4527167,0.027783137,1.73E-17,0.00456621,0.023216927,0.290038258
3/30/2014,60+ yrs,160,394,1378,3341,4527167,0.017865297,0.004166667,0.00456621,0.00913242,0.262280042
12/20/2015,60+ yrs,160,374,1493,3695,4665551,0.036786787,0.009009009,-6.94E-18,0.027777778,0.029411765
5/15/2016,60+ yrs,160,480,1657,3933,4806961,0.145999979,0.009470719,0.007937633,0.128591627,0.259533657
4/22/2018,60+ yrs,160,423,1509,3669,5098435,0.08729748,0.083007607,0.00273224,0.001557632,0.340275416
1/8/2012,60+ yrs,161,366,1396,3328,4264528,0.014707484,8.67E-18,0.00973236,0.004975124,0.088785594
4/27/2014,60+ yrs,161,392,1489,3639,4527167,0.038026398,1.73E-17,0.038026398,6.79E-18,0.104189527
12/6/2015,60+ yrs,161,417,1618,3875,4665551,0.017447828,0.009009009,-6.94E-18,0.008438819,0.013743219
10/2/2016,60+ yrs,161,423,1678,3877,4806961,0.092981446,0.051575165,0.030118925,0.011287356,0.042993393
11/5/2017,60+ yrs,161,404,1548,3620,4950886,0.053055558,1.73E-17,0.002710027,0.050345531,0.019973617
5/6/2018,60+ yrs,161,467,1657,4013,5098435,0.11845668,0.112146708,0.006309972,6.51E-18,0.344135715
9/2/2018,60+ yrs,161,468,1732,4088,5098435,0.303122057,0.015004353,0.014478384,0.27363932,0.019620804
9/9/2018,60+ yrs,161,467,1748,4012,5098435,0.317496208,0.013323343,0.02210836,0.282064505,0.008809993
3/21/2010,60+ yrs,162,364,1252,3006,4024870,-5.78E-19,1.50E-17,4.63E-18,-1.73E-18,0.390195337
4/1/2012,60+ yrs,162,358,1327,3191,4264528,0.022390464,8.67E-18,0.002604167,0.019786297,0.209200298
3/22/2009,60+ yrs,163,382,1340,3247,3923521,0.012162723,0,0.012162723,0,0.537152345
8/30/2015,60+ yrs,163,424,1577,3605,4665551,0.055918048,0.00245098,0.00772682,0.045740248,0.022861046
12/20/2009,60+ yrs,164,392,1430,3248,3923521,0.085435435,0.015302067,0.021860095,0.037162162,0.078304576
4/17/2011,60+ yrs,164,380,1420,3266,4140047,0.023832236,0.023832236,8.10E-18,4.05E-18,0.273529412
12/11/2011,60+ yrs,164,394,1360,3230,4140047,0.025149051,8.67E-18,0.004065041,0.021084011,0.011111111
11/3/2013,60+ yrs,164,438,1546,3657,4391538,0.127920228,0.008547009,0.003703704,0.115669516,0.012962963
9/21/2014,60+ yrs,164,416,1495,3463,4527167,0.091686092,0.003205128,0.027292152,0.061188811,0.008935509
10/1/2017,60+ yrs,164,470,1667,3969,4950886,0.14075177,0.008431933,0.007655521,0.124664316,0.013503474
5/13/2018,60+ yrs,164,444,1699,4075,5098435,0.168236184,0.164658452,0.003577732,6.51E-18,0.300324
4/4/2010,60+ yrs,165,424,1392,3251,4024870,0.061591828,0.006036272,0.015432099,0.040123457,0.329257724
2/27/2011,60+ yrs,165,379,1374,3287,4140047,0.020947702,0.002873563,0.002331002,0.015743136,0.124359409
9/13/2015,60+ yrs,165,423,1574,3700,4665551,0.055606595,1.42E-17,0.006991525,0.048615069,0.015716089
11/8/2015,60+ yrs,165,414,1590,3905,4665551,0.011368931,0.006802721,-6.94E-18,0.00456621,0.006802721
5/1/2016,60+ yrs,165,419,1584,3741,4806961,0.071267935,0.007462687,-6.94E-18,0.063805249,0.253985539
4/11/2010,60+ yrs,166,395,1324,3133,4024870,0.061591828,0.006036272,0.015432099,0.040123457,0.297043692
4/18/2010,60+ yrs,166,391,1435,3320,4024870,0.002949853,0.002949853,4.63E-18,-1.73E-18,0.349512827
1/9/2011,60+ yrs,166,396,1367,3107,4140047,0.022084091,0.008338387,0.010309278,0.003436426,0.049070144
11/6/2011,60+ yrs,166,423,1497,3420,4140047,0.084069535,0.006026365,0.011603651,0.066439519,0.034525858
4/29/2012,60+ yrs,166,398,1486,3361,4264528,0.024693531,8.67E-18,0.004198313,0.020495218,0.197802691
9/22/2013,60+ yrs,166,451,1521,3482,4391538,0.239626991,0.013894937,0.104184433,0.121547621,0.021961429
5/18/2014,60+ yrs,166,419,1619,3730,4527167,0.085682903,0.022330799,0.053366983,0.00998512,0.040521279
5/27/2018,60+ yrs,166,475,1734,4133,5098435,0.287508473,0.285950841,-1.45E-18,0.001557632,0.190853907
8/5/2018,60+ yrs,166,499,1765,4133,5098435,0.165543071,0.017016317,0.00794898,0.140577774,0.028485372
10/5/2014,60+ yrs,167,445,1607,3753,4527167,0.059765816,0.003205128,0.018038163,0.034734645,0.010957066
5/17/2015,60+ yrs,167,472,1657,3821,4665551,0.345156192,0.177978346,0.148095341,0.019082506,0.164172665
4/10/2016,60+ yrs,167,393,1531,3652,4806961,0.014624787,1.42E-17,-6.94E-18,0.014624787,0.211365076
4/5/2009,60+ yrs,168,387,1299,3176,3923521,0.033333333,0,0.033333333,0,0.428956229
2/8/2009,60+ yrs,169,394,1351,3282,3923521,0.036786932,0,0.036786932,0,0.433609878
5/13/2012,60+ yrs,169,399,1398,3308,4264528,0.044639783,0.001889645,0.012961974,0.029788164,0.148076577
9/29/2013,60+ yrs,169,427,1498,3569,4391538,0.219323155,0.006705839,0.079190525,0.13342679,0.021054455
11/2/2014,60+ yrs,169,405,1430,3373,4527167,0.016881343,1.91E-17,-1.39E-17,0.016881343,-2.78E-17
10/15/2017,60+ yrs,169,430,1596,3830,4950886,0.087960512,0.008195371,0.004853684,0.074911457,0.025421535
9/30/2012,60+ yrs,170,455,1602,3615,4264528,0.075949834,8.67E-18,0.019369355,0.056580479,0.062927983
5/22/2016,60+ yrs,170,410,1582,3746,4806961,0.176684706,0.002008032,0.015644762,0.159031911,0.282928245
10/17/2010,60+ yrs,172,440,1473,3319,4024870,0.053143948,0.012449424,0.002666667,0.038027857,0.002666667
10/31/2010,60+ yrs,172,444,1481,3406,4024870,0.084878688,0.019838537,0.013888889,0.051151262,0.007384451
9/6/2015,60+ yrs,172,466,1662,3714,4665551,0.052057212,1.42E-17,0.002824859,0.049232353,0.01895683
5/20/2018,60+ yrs,172,468,1740,4038,5098435,0.2182009,0.214907157,0.001736111,0.001557632,0.243491932
8/26/2018,60+ yrs,172,518,1677,4071,5098435,0.29656935,0.023395962,0.014400684,0.258772705,0.021200706
10/11/2009,60+ yrs,173,427,1505,3381,3923521,0.028859159,0.018591797,4.63E-18,0.010267362,0.014098779
9/12/2010,60+ yrs,173,441,1494,3421,4024870,0.258086684,0.046907319,0.056932808,0.154246557,0.009389671
5/8/2016,60+ yrs,173,456,1672,3952,4806961,0.111863433,0.007462687,0.003921569,0.100479177,0.267565786
5/14/2017,60+ yrs,173,450,1713,4164,4950886,0.02883533,0.007798468,0.019195242,0.001841621,0.185114153
11/8/2009,60+ yrs,174,460,1567,3445,3923521,0.012578616,1.50E-17,4.63E-18,5.78E-19,0.008654296
11/29/2009,60+ yrs,174,429,1447,3268,3923521,0.003745318,1.50E-17,4.63E-18,5.78E-19,0.018360202
9/19/2010,60+ yrs,174,421,1435,3301,4024870,0.179678541,0.057481042,0.022056886,0.100140613,-2.26E-17
5/19/2013,60+ yrs,174,438,1502,3461,4391538,0.283031782,0.263337877,0.01082768,0.008866226,0.076263242
7/21/2013,60+ yrs,174,439,1643,3776,4391538,0.114289243,0.059510185,0.044179659,0.010599399,0.031605127
9/24/2017,60+ yrs,174,463,1597,3699,4950886,0.157460207,0.002583979,0.023528537,0.131347691,0.016473863
11/22/2009,60+ yrs,175,397,1478,3402,3923521,0.016323935,1.50E-17,4.63E-18,5.78E-19,0.010635291
2/20/2011,60+ yrs,175,386,1246,3034,4140047,0.01440147,0.002873563,8.10E-18,0.011527907,0.124068034
5/12/2013,60+ yrs,175,421,1595,3624,4391538,0.25278925,0.238039931,0.00711924,0.007630079,0.103203004
9/14/2014,60+ yrs,175,408,1568,3701,4527167,0.11128955,0.001937984,0.032509803,0.076841763,0.005730381
5/3/2015,60+ yrs,175,466,1709,3901,4665551,0.204726283,0.142304697,0.045854817,0.016566769,0.233834397
7/22/2018,60+ yrs,175,478,1843,4166,5098435,0.148280891,0.045400897,0.016951117,0.085928876,0.021929723
5/3/2009,60+ yrs,176,450,1553,3556,3923521,0.109339775,0,0.103784219,0.005555556,0.160708535
1/2/2011,60+ yrs,176,426,1477,3336,4140047,0.050515464,0.003436426,0.010309278,0.036769759,0.034364261
3/8/2009,60+ yrs,177,406,1339,3205,3923521,0.015964135,0,0.015964135,0,0.563207936
10/16/2011,60+ yrs,177,416,1482,3293,4140047,0.129098252,8.67E-18,0.037421078,0.091677173,0.032200477
11/27/2011,60+ yrs,177,385,1347,3287,4140047,0.047861553,0.00330033,0.007998177,0.036563045,0.027950583
7/15/2012,60+ yrs,177,520,1821,4067,4264528,0.280543268,8.67E-18,0.201763894,0.078779374,0.062910095
4/20/2014,60+ yrs,177,429,1547,3524,4527167,0.038231149,0.007575758,0.015503876,0.015151515,0.125688298
8/24/2014,60+ yrs,177,472,1712,3810,4527167,0.170782864,0.007401297,0.075880882,0.087500686,0.007173195
10/3/2010,60+ yrs,178,432,1506,3424,4024870,0.128213183,0.062077989,0.014652015,0.05148318,0.009157509
5/27/2012,60+ yrs,178,474,1519,3415,4264528,0.077578672,0.001889645,0.036847007,0.038842021,0.112965379
5/25/2014,60+ yrs,178,426,1583,3634,4527167,0.120808553,0.012108425,0.100064852,0.008635275,0.027674253
6/4/2017,60+ yrs,178,486,1736,4030,4950886,0.163346864,0.015802108,0.141278672,0.006266085,0.166915912
9/13/2009,60+ yrs,179,458,1520,3434,3923521,0.127031726,0.109205422,0.006048387,0.011777916,0.013039179
